POST-OFFICE-NAME	PIN-CODE	DISTRICT	STATE
ABAZAI	24550	Charsadda 	NWFP
ABBA KHEL	28440	Bannu 	NWFP
ABBAS PUR	12200	Rawalakot 	Azad Kashmir
ABBOTTABAD GPO	22010	Abbottabad 	NWFP
ABBOTTABAD PUBLIC SCHOOL	22030	Abbottabad 	NWFP
ABDUL HAKIM	58180	Khanewal 	Punjab
ADAMJEE PAPER BOARD MILLS NOWSHERA	24170	Nowshera 	NWFP
ADDA GAMBEER	57460	Sahiwal 	Punjab
ADDA MIR ABBAS	28300	Bannu 	NWFP
ADHI KOT	41260	Khushab 	Punjab
ADHIAN 	39060	Qila Sheikhupura 	Punjab
ADIL PUR	65080	Sukkur 	Sindh
ADOWAL	50730	Gujrat 	Punjab
ADRANA	49304	Jhelum 	Punjab
AFZAL PUR	10360	Mirpur 	Azad Kashmir
AGRA	66074	Khairpur  	Sindh
AGRICULTUR INSTITUTE NAWABSHAH	67230	Nawabshah 	Sindh
AHAMED PUR SIAL	35090	Jhang 	Punjab 
AHATA FAROOQIA	47066	Wah Cantt. 	Punjab
AHDI	47750	Gujar Khan 	Punjab
AHMAD NAGAR	52070	Gujranwala 	Punjab
AHMAD PUR EAST	63350	Bahawalpur 	Punjab
AHMADPUR LAMA	64380	Rahimyar Khan 	Punjab
AHMED PUR	40120	Sargodha 	Punjab
AHMED PUR	66040	Khairpur  	Sindh
AHMEDWAL	95150	Quetta 	Balochistan
AHSAN PUR	34000	Muzaffargarh 	Punjab
AITCHESON COLLEGE	54030	Lahore 	Punjab
AJK BOARD OF EDUCATION MIRPUR	10240	Mirpur 	Azad Kashmir
AJNIAN WALA	39450	Qila Sheikhupura 	Punjab
AKAL GARH	10470	Mirpur 	Azad Kashmir
AKBAR PURA	24320	Nowshera 	NWFP
AKHTAR ABAD	56100	Okara 	Punjab
AKORA KHATTAK	24040	Nowshera 	NWFP
AKWAL	48060	Talagang 	Punjab
ALAMABAD	40418	Sargodha 	Punjab
ALFLAH 	54020	Lahore 	Punjab
ALI PUR	34450	Muzaffargarh 	Punjab
ALI PUR CHATHA	52080	Gujranwala 	Punjab
ALI PUR FRASH	45600	Islamabad 	Federal Capital
ALI TOWN 	87340	Quetta 	Balochistan
ALIABAD	15600	Gilgit 	Northern Area
ALIPUR NOON	40500	Sargodha 	Punjab
ALIZAI	26280	Kohat 	NWFP
AL-JAMIA	57470	Sahiwal 	Punjab
ALLAH ABAD	64020	Rahimyar Khan 	Punjab
ALLAH BAKHASH COLONY	24020	Nowshera 	NWFP
ALLIANCE TEXTILE MILLS	49610	Jhelum 	Punjab
ALLUWALI	42010	Mianwali 	Punjab
ALOCH	19150	Saidu Sharif 	NWFP
ALPURAI	19100	Saidu Sharif 	NWFP
ALRO LAB	43734	Attock 	Punjab
ALTIT	15710	Gilgit 	Northern Area
AMA KHEL	29432	Tank 	NWFP
AMAN KOT	19140	Saidu Sharif 	NWFP
AMBA DHER	24610	Charsadda 	NWFP
AMIRABAD	24502	Charsadda 	NWFP
AMMUNITION DEPOT KASHMORE	79212	Jacobabad 	Sindh
AMRA KALAN	50340	Mandi Bahauddin 	Punjab
ANGAH	41140	Khushab 	Punjab
ANWAR SHAEED COLONY RENALA KHURD	56150	Okara 	Punjab
AQIL SHAH	67040	Nawabshah 	Sindh
ARA	48326	Chakwal 	Punjab
ARAIN ROAD	65320	Sukkur 	Sindh
ARANDA	17250	Chitral 	NWFP
ARIF WALA	57450	Sahiwal 	Punjab
ARJA 	12460	Bagh 	Azad Kashmir
AROOP	52400	Gujranwala 	Punjab
ARRAR	48370	Chakwal 	Punjab
ARZI BHUTTO	77280	Larkana 	SIndh
ASHRAF SUGAR MILLS BAHAWALPUR	63274	Bahawalpur 	Punjab
ASHRIT	17260	Chitral 	NWFP
ASIABAD	92610	Turbat 	Balochistan
ASTANA-E-FAZAL	40184	Sargodha 	Punjab
ASTORE	14300	Gilgit 	Northern Area
ATHARAN HAZARI	35180	Jhang 	Punjab
ATHMAQAM	13230	Muzaffarabad 	Azad Kashmir
ATTOCK G.P.O.	43600	Attock 	Punjab
ATTOCK KHURD	43560	Attock 	Punjab
ATTOCK OIL COMPANY RAWALPINDI	46600	Rawalpindi 	Punjab
AURANGABAD	50010	Gujrat 	Punjab
AWAN COLONEY 	54780	Lahore 	Punjab 
AWAN GHAMBEER	28122	Bannu 	NWFP
AWAN SHARIF	50870	Gujrat 	Punjab
AYUB AGRICULTURAL RESEARCH INSTITUTE	38850	Faisalabad 	Punjab
AYUB MEDICAL COLLEGE ABBOTTABAD	22040	Abbottabad 	NWFP
AYUBIA	22310	Abbottabad 	NWFP
AYUN	17210	Chitral 	NWFP
AZA KHEL BALA	24190	Nowshera 	NWFP
AZA KHEL PAYAN	24182	Nowshera 	NWFP
AZAD PATTAN	12000	Rawalakot 	Azad Kashmir
B AL BRAHMANA	11220	Kotli 	Azad Kashmir
B. G. PUR	50330	Mandi Bahauddin 	Punjab
BABARLOI	65270	Sukkur 	Sindh
BABU ZAI	23250	Mardan 	NWFP
BADAH	77010	Larkana 	Sindh
BADBHER	24840	Peshawar 	NWFP
BADHBER PAF CAMP	24830	Peshawar 	NWFP
BADHO KAMBRANI	72060	Hyderabad 	Sindh
BADHORA	22780	Haripur 	NWFP
BADIANA	51410	Sialkot 	Punjab
BADIN 	72200	Hyderabad 	Sindh
BADOMALI	51700	Narowal 	Punjab
BADSHAHAN	48760	Chakwal 	Punjab
BAFFA	21110	Mansehra 	NWFP
BAGAN	22290	Abbottabad 	NWFP
BAGARJI 	65330	Sukkur 	Sindh
BAGH 	12500	Bagh 	Azad Kashmir
BAGH JAMIRI	47390	Rawalpindi 	Punjab
BAGHBANPURA	54920	Lahore 	Punjab
BAGHICHA	16500	Skardu HPO	Northern Area
BAGHO BAHR	64160	Rahimyar Khan 	Punjab
BAGHPUR DHERI	22652	Haripur 	NWFP
BAGNIAL	45240	Islamabad 	Federal Capital
BAGNOTAR	22210	Abbottabad 	NWFP
BAHADAR PUR	59300	Multan 	Punjab
BAHADUR KHEL	27410	Karak 	NWFP
BAHALIKE	39530	Qila Sheikhupura 	Punjab
BAHAUDDIN ZAKARIA UNIVERSITY	60800	Multan 	Punjab
BAHAWAL NAGAR GPO	62300	Bahawal Nagar 	Punjab
BAHAWALPUR CANTT	63080	Bahawalpur 	Punjab
BAHAWALPUR GPO	63100	Bahawalpur 	Punjab
BAHAWALPUR INTERMEDIATE SECONDRY BOARD	63170	Bahawalpur 	Punjab
BAHRAIN	19010	Saidu Sharif 	NWFP
BAHRAM	77260	Larkana 	Sindh
BAHRIA TOWN	46220	Rawalpindi 	Punjab
BAHRIA TOWN	53720	Lahore 	Punjab
BAHTAR	43740	Attock 	Punjab
BAISA KALAN	50030	Gujrat 	Punjab
BAITHAK BAZAR	12100	Rawalakot 	Azad Kashmir
BAIZU KHARKI	23090	Mardan 	NWFP
BAKA KHEL	28142	Bannu 	NWFP
BAKHSHALI	23220	Mardan 	NWFP
BAKHSHAN KHAN	62400	Bahawal Nagar 	Punjab
BAKKA KHEL	28480	Bannu 	NWFP
BAKRALA	49260	Jhelum 	Punjab
BAKRANI VILLAGE	77110	Larkana 	Sindh
BALAKOT	21230	Mansehra 	NWFP
BALDHER	22584	Haripur 	NWFP
BALELI	87100	Quetta 	Balochistan
BALI MANG	21080	Mansehra 	NWFP
BALICHA	90350	Turbat 	Balochistan
BALKASAR	48630	Chakwal 	Punjab
BALLOKI	55210	Lahore 	Punjab
BALOCH	12120	Rawalakot 	Azad Kashmir
BALWAL	48130	Talagang 	Punjab
BAMKHEL	23440	Sawabi 	NWFP
BAN	47230	Murree 	Punjab
BANDA	47560	Rawalpindi 	Punjab
BANDA DAUD SHAH	26400	Kohat 	NWFP
BANDA MOHIB	24230	Nowshera 	NWFP
BANDA SHEIKH ISMAIL	24302	Nowshera 	NWFP
BANDHI	67400	Nawabshah 	Sindh
BANDIAL	41310	Khushab 	Punjab
BANGIAL	49330	Jhelum 	Punjab
BANGLA MANTHAR	64410	Rahimyar Khan 	Punjab
BANGLA SADABAD	10050	Bhimber 	Azad Kashmir
BANGUL DERO 	77400	Larkana 	Sindh
BANNA	21032	Mansehra 	NWFP
BANNI	10370	Mirpur 	Azad Kashmir
BANNU AL.MARKAZ ISLAMI	28334	Bannu 	NWFP
BANNU GPO	28100	Bannu 	NWFP
BANSAIR	21050	Mansehra 	NWFP
BARA DARWESH KHELA	19050	Saidu Sharif 	NWFP
BARA FORT	24800	Peshawar 	NWFP
BARA GRAN	49350	Jhelum 	Punjab
BARA KAU	45400	Islamabad 	Federal Capital
BARAGOWAH	49320	Jhelum 	Punjab
BARAL	12030	Rawalakot 	Azad Kashmir
BARAL COLONY	49420	Jhelum 	Punjab
BARAMANGA	51780	Narowal 	Punjab
BARATLA	11032	Kotli 	Azad Kashmir
BARAWAL BANDI	18100	Batkhela HPO	NWFP
BARAZAI	43430	Attock 	Punjab
BARIAN CAMP	47124	Murree 	Punjab
BARIKOT	19240	Saidu Sharif 	NWFP
BARIKOT	12560	Bagh 	Azad Kashmir
BARJAH	10070	Bhimber 	Azad Kashmir
BARKHAN	84400	Loralai 	Balochistan
BARKI	53200	Lahore 	Punjab
BARNALA	10020	Bhimber 	Azad Kashmir
BARNALI	50140	Gujrat 	Punjab
BAROTHA WAPDA COLONY	43660	Attock 	Punjab
BARSALI	10044	Bhimber 	Azad Kashmir
BARSHORE	86800	Quetta 	Balochistan
BARTHI	32124	Dera Ghazi Khan 	Punjab
BASAL	43140	Attock 	Punjab
BASHARAT	48410	Chakwal 	Punjab
BASIMA	94050	Khuzdar 	Balochistan
BASIR PUR	56010	Okara 	Punjab
BASIRA	34300	Muzaffargarh 	Punjab
BASSALI	47650	Rawalpindi 	Punjab
BASTI BUZDAR	32110	Dera Ghazi Khan 	Punjab
BASTI MALANA	32410	Dera Ghazi Khan 	Punjab
BASTI MALOOK	59150	Multan 	Punjab
BATA PUR	53400	Lahore Cantt 	Punjab
BATAMOHRI	21044	Mansehra 	NWFP
BATKHELA GPO	23020	Batkhela HPO	NWFP
BATRASI CAMP	21250	Mansehra 	NWFP
BATTAGRAM	21040	Mansehra 	NWFP
BATTAL	21090	Mansehra 	NWFP
BEGOWALA	51080	Sialkot 	Punjab
BEHAL	30040	Bhakkar 	Punjab
BEHAR COLONY KOTRI	76040	Hyderabad 	Sindh
BEHARI	10534	Mirpur 	Azad Kashmir
